symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2023-02-27,23497.5,23564.1,23435.94,23552.31,123.202006301,2987.0,23494.681907
BTC/USD,2023-02-27,23551.05,23645.38,23514.83,23567.12,216.6360555,3378.0,23567.005098
BTC/USD,2023-02-27,23566.91,23643.87,23541.2,23553.03,223.95416212,3770.0,23591.741236
BTC/USD,2023-02-27,23554.64,23564.63104363,23465.92,23492.82,204.86479824,3924.0,23510.92903
BTC/USD,2023-02-27,23492.81,23507.85,23355.71,23389.35,315.954538715,4477.0,23439.623493
BTC/USD,2023-02-27,23389.56,23439.26,23370.22,23412.2,120.108709323,2341.0,23406.235083
BTC/USD,2023-02-27,23407.39,23459.69,23407.39,23420.32,87.555133,1454.0,23433.814104
BTC/USD,2023-02-27,23423.61,23453.44,23340.82,23360.89,143.71547775,2888.0,23394.126458
BTC/USD,2023-02-27,23360.84,23437.51,23333.05,23390.15,83.144968718,1888.0,23389.872971
BTC/USD,2023-02-27,23387.19,23419.17,23346.35,23375.4,79.384209517,1907.0,23383.549811
BTC/USD,2023-02-27,23379.2,23445.0,23371.18,23426.5,77.564424,1533.0,23413.916327
BTC/USD,2023-02-27,23425.15,23437.1,23372.8746009,23400.0,92.19149175,1846.0,23401.659934
BTC/USD,2023-02-27,23401.46,23795.22,23396.0,23711.57,548.442295918,9496.0,23658.493275
BTC/USD,2023-02-27,23710.1,23853.51,23678.35,23806.51,578.636544202,9795.0,23767.508381
BTC/USD,2023-02-27,23806.51,23896.6,23473.62,23556.98,720.862628424,12352.0,23692.535407
BTC/USD,2023-02-27,23561.6,23623.47,23159.89,23391.41,755.207704288,14964.0,23373.540412
BTC/USD,2023-02-27,23394.75,23420.66,23269.75,23335.13,370.310146701,6431.0,23358.859186
BTC/USD,2023-02-27,23330.88,23366.99,23154.28,23284.6,420.720404589,8511.0,23242.621866
BTC/USD,2023-02-27,23288.24,23355.0,23218.59,23268.2,314.270395729,5824.0,23285.082878
BTC/USD,2023-02-27,23266.92,23327.14,23111.9,23320.03,478.44886687,7705.0,23229.401323
BTC/USD,2023-02-27,23316.72,23394.0,23292.36,23378.89,209.38706,3570.0,23352.669389
BTC/USD,2023-02-27,23378.89,23529.8,23359.31,23471.74,236.966556,4581.0,23428.021861
BTC/USD,2023-02-27,23473.65,23574.48,23438.07,23488.76,220.645531969,4165.0,23497.869812
BTC/USD,2023-02-28,23489.87,23500.94,23404.48,23420.29,322.161468234,5386.0,23470.489473
BTC/USD,2023-02-28,23411.92,23458.146121,23344.0,23429.01,120.2522695,2597.0,23406.765099
BTC/USD,2023-02-28,23432.92,23475.65,23380.75,23432.24,95.987584,2079.0,23433.808692
BTC/USD,2023-02-28,23435.0,23517.17,23426.91,23457.03,78.439898,1921.0,23473.822688
BTC/USD,2023-02-28,23459.62,23466.08,23388.57,23411.65,45.448432671,1646.0,23415.511712
BTC/USD,2023-02-28,23411.66,23446.21,23362.31,23370.0,59.737669182,1619.0,23399.599421
BTC/USD,2023-02-28,23376.54,23410.0,23361.66,23386.6,44.218528349,1157.0,23390.295386
BTC/USD,2023-02-28,23386.77,23395.65,23214.85,23233.86,186.204267747,3872.0,23290.127957
BTC/USD,2023-02-28,23232.86,23300.76,23203.83,23264.0,119.815437804,2746.0,23255.425786
BTC/USD,2023-02-28,23260.31,23319.14,23244.06,23271.63,70.721824,1753.0,23281.880812
BTC/USD,2023-02-28,23270.87,23386.42,23251.82,23361.67,79.444622,1981.0,23328.89016
BTC/USD,2023-02-28,23364.92,23426.244021,23337.4,23394.06,110.417833839,2380.0,23379.484245
BTC/USD,2023-02-28,23396.78,23502.17,23387.81,23456.98,167.913312,3890.0,23459.436504
BTC/USD,2023-02-28,23457.08,23488.3,23371.16,23405.66,175.928318658,3869.0,23407.345627
BTC/USD,2023-02-28,23405.99,23577.43,23322.77,23423.4,394.638186983,8976.0,23475.055354
BTC/USD,2023-02-28,23425.96,23543.32,23403.51,23525.74,446.474674991,9193.0,23480.659567
BTC/USD,2023-02-28,23518.55,23599.63,23422.83,23455.82,205.025251652,5815.0,23509.321901
BTC/USD,2023-02-28,23461.2,23555.87,23450.45,23525.03,150.597097209,3913.0,23507.103561
BTC/USD,2023-02-28,23522.34,23547.06,23432.88,23478.87,126.76498909,3537.0,23490.734403
BTC/USD,2023-02-28,23481.4,23493.45,23217.17,23265.97,293.996903539,7022.0,23314.96053
BTC/USD,2023-02-28,23269.42,23344.45,23170.57,23270.7,210.069684533,6207.0,23264.826121
